Category,Total,Space_Heating,Cooling,Ventilation,Water_Heating,Lighting,Cooking,Refrigeration,Office_Equipment,Computing,Other
Northeast,77.5,32.8,4.4,8.4,3.7,8.1,8.1,3.8,0.5,3.5,11.8
New England,74.1,33.7,3.2,7.9,4.2,7.3,9,5.4,0.5,2.1,12.7
Middle Atlantic,78.6,32.6,4.7,8.6,3.6,8.3,7.9,3.3,0.5,3.9,11.6
Midwest,75.7,34.4,4.6,7.6,3.4,7.1,9.8,4.7,0.5,3.1,11.1
East North Central,79.1,36,4.8,7.9,3.8,7.2,11.3,5.5,0.5,2.7,10.7
West North Central,68.5,30.9,4.2,7,2.4,6.8,6.5,3.2,0.5,4,11.9
South,68.3,17.6,10.8,7.9,4,7.7,11.4,4.6,0.6,2.7,11.6
South Atlantic,69.4,17.4,10.9,8.4,4.1,8,11.8,4.6,0.6,2.6,12.3
East South Central,67.7,21.4,8.9,7.2,3.2,7.7,12,4.5,0.6,2.5,10.6
West South Central,66.9,16.1,11.6,7.5,4.1,7.4,10.7,4.8,0.6,2.8,11.2
West,66.9,18.7,4.9,8.1,5,7.3,16.9,5.9,0.6,3.7,11
Mountain,77,24.4,5.1,8.5,5.2,7.5,18.9,6.1,0.5,4.4,9.8
Pacific,60.5,14.7,4.7,7.8,4.9,7.2,15.2,5.7,0.7,3.2,11.7
Cold or very cold,78,36.1,2.3,7.4,2.8,6.6,8.5,6.2,0.5,4.6,13.7
Cool,74.8,33.3,3.6,7.7,3.7,7.4,10.8,4.6,0.5,3,10.8
Mixed mild,77.3,29.3,6.2,8.7,4.1,7.9,9.6,3.9,0.5,3.5,11.8
Warm,66.1,16.5,8.6,7.8,4.4,7.6,14.5,5.2,0.6,2.6,11.2
Hot or very hot,60.3,6.3,14.2,7.6,3.8,7.5,12.8,5.3,0.6,2.9,11
1,67.6,23.8,7.8,6.1,3.5,7.6,16.7,7,0.5,2.4,10.5
